# ============================================================================
# Regras do OWASP ZAP Baseline Scan (formato TSV: ID<TAB>AÇÃO<TAB>comentário)
# Ações possíveis: IGNORE | WARN | FAIL
#
# Em CI mantemos FAIL para as classes de vulnerabilidade que importam e
# IGNORE para alertas informativos que geram ruído (ex.: ausência de cabeçalho
# em respostas estáticas já cobertas por CSP global).
#
# Referência de IDs: https://www.zaproxy.org/docs/alerts/
# ============================================================================
10202	FAIL	Anti-CSRF tokens ausentes
40012	FAIL	Cross Site Scripting (refletido)
40014	FAIL	Cross Site Scripting (persistente)
40018	FAIL	SQL Injection
90020	FAIL	Remote OS Command Injection
40003	FAIL	CRLF Injection
10038	WARN	Content Security Policy (CSP) - revisar
10063	WARN	Permissions Policy header ausente em recurso estático
10096	IGNORE	Timestamp Disclosure - ruído informativo
10027	IGNORE	Information Disclosure - comentários suspeitos
10109	IGNORE	Modern Web Application - informativo
